Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
15.858962	127.574546
15.883976	127.379271
15.908990	127.183997
15.934004	126.988723
15.959018	126.793449
15.984033	126.598175
16.009047	126.402900
16.034061	126.207626
16.059075	126.012352
16.084089	125.817078
16.109103	125.624512
16.134117	125.434570
16.159132	125.244628
16.184146	125.054686
16.209160	124.864744
16.234174	124.674802
16.259188	124.484861
16.284202	124.294919
16.309216	124.104977
16.334230	123.915035
16.359245	123.750797
16.384259	123.610908
16.409273	123.471019
16.434287	123.331130
16.459301	123.191241
16.484315	123.051352
16.509329	122.911463
16.534344	122.771574
16.559358	122.631684
16.584372	122.491795
16.609386	122.349985
16.634400	122.206396
16.659414	122.062807
16.684428	121.919218
16.709442	121.775629
16.734457	121.632040
16.759471	121.488451
16.784485	121.344862
16.809499	121.201273
16.834513	121.057684
16.859527	120.887185
16.884541	120.692323
16.909556	120.497462
16.934570	120.302600
16.959584	120.107738
16.984598	119.912876
17.009612	119.718014
17.034626	119.523153
17.059640	119.328291
17.084655	119.133429
17.109669	118.939436
17.134683	118.746212
17.159697	118.552989
17.184711	118.359765
17.209725	118.166541
17.234739	117.973317
17.259753	117.780094
17.284768	117.586870
17.309782	117.393646
17.334796	117.200422
17.359810	117.034694
17.384824	116.892754
17.409838	116.750815
17.434852	116.608875
17.459867	116.466936
17.484881	116.324996
17.509895	116.183057
17.534909	116.041117
17.559923	115.899178
17.584937	115.757238
17.609951	115.617294
17.634966	115.479038
17.659980	115.340781
17.684994	115.202524
17.710008	115.064267
17.735022	114.926011
17.760036	114.787754
17.785050	114.649497
17.810064	114.511241
17.835079	114.372984
17.860093	114.212497
17.885107	114.033632
17.910121	113.854767
17.935135	113.675902
17.960149	113.497037
17.985163	113.318172
18.010178	113.139308
18.035192	112.960443
18.060206	112.781578
18.085220	112.602713
18.110234	112.426119
18.135248	112.251361
18.160262	112.076603
18.185276	111.901845
18.210291	111.727087
18.235305	111.552328
18.260319	111.377570
18.285333	111.202812
18.310347	111.028054
18.335361	110.853296
18.360375	110.704206
18.385390	110.575388
18.410404	110.446571
18.435418	110.317753
18.460432	110.188935
18.485446	110.060117
18.510460	109.931300
18.535474	109.802482
18.560489	109.673664
18.585503	109.544847
18.610517	109.416957
18.635531	109.289783
18.660545	109.162609
18.685559	109.035435
18.710573	108.908261
18.735587	108.781087
18.760602	108.653913
18.785616	108.526739
18.810630	108.399565
18.835644	108.272391
18.860658	108.120897
18.885672	107.951058
18.910686	107.781220
18.935701	107.611382
18.960715	107.441543
18.985729	107.271705
19.010743	107.101867
19.035757	106.932029
19.060771	106.762190
19.085785	106.592352
19.110800	106.423694
19.135814	106.255906
19.160828	106.088119
19.185842	105.920331
19.210856	105.752543
19.235870	105.584755
19.260884	105.416967
19.285898	105.249180
19.310913	105.081392
19.335927	104.913604
19.360941	104.771571
19.385955	104.648086
19.410969	104.524600
19.435983	104.401115
19.460997	104.277629
19.486012	104.154144
19.511026	104.030659
19.536040	103.907173
19.561054	103.783688
19.586068	103.660202
19.611082	103.536959
19.636096	103.413886
19.661110	103.290813
