Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 12:08:38
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
16.584372	239.179253
16.609386	238.829404
16.634400	238.479555
16.659414	238.129707
16.684428	237.779858
16.709442	237.430010
16.734457	237.091152
16.759471	236.762357
16.784485	236.433563
16.809499	236.104769
16.834513	235.775975
16.859527	235.447180
16.884541	235.118386
16.909556	234.789592
16.934570	234.460798
16.959584	234.132003
16.984598	233.797225
17.009612	233.457090
17.034626	233.116956
17.059640	232.776821
17.084655	232.436686
17.109669	232.096551
17.134683	231.756417
17.159697	231.416282
17.184711	231.076147
17.209725	230.736012
17.234739	230.406245
17.259753	230.085549
17.284768	229.764854
17.309782	229.444158
17.334796	229.123463
17.359810	228.802767
17.384824	228.482072
17.409838	228.161376
17.434852	227.840681
17.459867	227.519985
17.484881	227.193177
17.509895	226.861141
17.534909	226.529105
17.559923	226.197069
17.584937	225.865033
17.609951	225.532997
17.634966	225.200961
17.659980	224.868925
17.684994	224.536889
17.710008	224.204853
17.735022	223.883398
17.760036	223.570790
17.785050	223.258181
17.810064	222.945573
17.835079	222.632965
17.860093	222.320357
17.885107	222.007748
17.910121	221.695140
17.935135	221.382532
17.960149	221.069923
17.985163	220.751976
18.010178	220.429666
18.035192	220.107355
18.060206	219.785044
18.085220	219.462734
18.110234	219.140423
18.135248	218.818112
18.160262	218.495801
18.185276	218.173491
18.210291	217.851180
18.235305	217.538772
18.260319	217.234274
18.285333	216.929776
18.310347	216.625277
18.335361	216.320779
18.360375	216.016281
18.385390	215.711783
18.410404	215.407285
18.435418	215.102787
18.460432	214.798289
18.485446	214.489243
18.510460	214.176646
18.535474	213.864049
18.560489	213.551452
18.585503	213.238856
18.610517	212.926259
18.635531	212.613662
18.660545	212.301065
18.685559	211.988468
18.710573	211.675872
18.735587	211.371540
18.760602	211.073514
18.785616	210.775488
18.810630	210.477462
18.835644	210.179436
18.860658	209.881410
18.885672	209.583384
18.910686	209.285358
18.935701	208.987332
18.960715	208.689306
18.985729	208.386640
19.010743	208.080515
19.035757	207.774391
19.060771	207.468266
19.085785	207.162141
19.110800	206.856017
19.135814	206.549892
19.160828	206.243767
19.185842	205.937643
19.210856	205.631518
19.235870	205.335705
19.260884	205.047404
19.285898	204.759103
19.310913	204.470803
19.335927	204.182502
19.360941	203.894201
19.385955	203.605901
19.410969	203.317600
19.435983	203.029299
19.460997	202.740999
19.486012	202.447967
19.511026	202.151568
19.536040	201.855168
19.561054	201.558769
19.586068	201.262370
19.611082	200.965970
19.636096	200.669571
19.661110	200.373172
19.686125	200.076772
19.711139	199.780373
19.736153	199.493527
19.761167	199.213325
19.786181	198.933123
19.811195	198.652921
19.836209	198.372719
19.861224	198.092517
19.886238	197.812315
19.911252	197.532113
19.936266	197.251912
19.961280	196.971710
19.986294	196.686678
20.011308	196.398366
20.036323	196.110054
20.061337	195.821742
20.086351	195.533430
20.111365	195.245118
20.136379	194.956806
20.161393	194.668494
20.186407	194.380181
20.211421	194.091869
20.236436	193.814272
20.261450	193.543784
20.286464	193.273296
20.311478	193.002808
20.336492	192.732319
20.361506	192.461831
20.386520	192.191343
20.411535	191.920855
20.436549	191.650367
20.461563	191.379879
20.486577	191.103497
20.511591	190.823295
20.536605	190.543093
20.561619	190.262891
20.586633	189.982689
20.611648	189.702487
20.636662	189.422285
20.661676	189.142083
20.686690	188.861882
20.711704	188.581680
20.736718	188.311397
20.761732	188.047393
20.786747	187.783388
20.811761	187.519384
20.836775	187.255379
20.861789	186.991375
20.886803	186.727370
20.911817	186.463366
20.936831	186.199361
20.961846	185.935357
20.986860	185.668343
21.011874	185.399471
21.036888	185.130598
21.061902	184.861725
21.086916	184.592852
21.111930	184.323979
21.136944	184.055106
21.161959	183.786233
21.186973	183.517360
21.211987	183.248487
21.237001	182.987702
21.262015	182.731797
21.287029	182.475891
21.312043	182.219985
21.337058	181.964079
21.362072	181.708174
21.387086	181.452268
21.412100	181.196362
21.437114	180.940456
21.462128	180.684550
21.487142	180.423548
21.512157	180.159543
21.537171	179.895539
21.562185	179.631534
21.587199	179.367530
21.612213	179.103525
21.637227	178.839521
21.662241	178.575516
21.687255	178.311512
21.712270	178.047507
21.737284	177.793781
21.762298	177.545963
21.787312	177.298144
21.812326	177.050326
21.837340	176.802507
21.862354	176.554689
21.887369	176.306870
21.912383	176.059052
21.937397	175.811233
21.962411	175.563415
21.987425	175.310415
22.012439	175.054509
22.037453	174.798603
22.062467	174.542697
22.087482	174.286792
22.112496	174.030886
22.137510	173.774980
22.162524	173.519074
22.187538	173.263168
22.212552	173.007263
22.237566	172.760775
22.262581	172.519440
22.287595	172.278105
22.312609	172.036770
22.337623	171.795435
22.362637	171.554100
22.387651	171.312765
22.412665	171.071430
22.437680	170.830095
22.462694	170.588760
22.487708	170.341092
22.512722	170.090043
22.537736	169.838994
22.562750	169.587945
22.587764	169.336896
22.612778	169.085848
22.637793	168.834799
22.662807	168.583750
22.687821	168.332701
22.712835	168.081652
22.737849	167.841255
22.762863	167.606404
22.787877	167.371553
22.812892	167.136701
22.837906	166.901850
22.862920	166.666998
22.887934	166.432147
22.912948	166.197296
22.937962	165.962444
22.962976	165.727593
22.987991	165.488441
23.013005	165.247106
23.038019	165.005771
23.063033	164.764436
23.088047	164.523101
23.113061	164.281766
23.138075	164.040431
23.163089	163.799096
23.188104	163.557761
23.213118	163.316426
23.238132	163.083758
23.263146	162.855379
23.288160	162.626999
23.313174	162.398620
23.338188	162.170241
23.363203	161.941861
23.388217	161.713482
23.413231	161.485103
23.438245	161.256723
23.463259	161.028344
23.488273	160.795599
23.513287	160.560748
23.538301	160.325896
23.563316	160.091045
23.588330	159.856193
23.613344	159.621342
23.638358	159.386491
23.663372	159.151639
23.688386	158.916788
23.713400	158.681936
23.738415	158.456997
23.763429	158.236716
23.788443	158.016435
23.813457	157.796155
23.838471	157.575874
23.863485	157.355594
23.888499	157.135313
23.913514	156.915033
23.938528	156.694752
23.963542	156.474471
23.988556	156.248644
24.013570	156.020276
24.038584	155.791908
24.063598	155.563540
24.088612	155.335172
24.113627	155.106805
24.138641	154.878437
24.163655	154.650069
24.188669	154.421701
24.213683	154.193333
24.238697	153.975042
24.263711	153.761245
24.288726	153.547448
24.313740	153.333651
24.338754	153.119854
24.363768	152.906057
24.388782	152.692260
24.413796	152.478463
24.438810	152.264666
24.463824	152.050869
24.488839	151.831425
24.513853	151.609529
24.538867	151.387634
24.563881	151.165738
24.588895	150.943842
24.613909	150.721946
24.638923	150.500051
24.663938	150.278155
24.688952	150.056259
24.713966	149.834364
24.738980	149.621574
24.763994	149.412634
24.789008	149.203693
24.814022	148.994753
24.839037	148.785813
24.864051	148.576873
24.889065	148.367933
24.914079	148.158993
24.939093	147.950053
24.964107	147.741113
24.989121	147.527579
25.014135	147.312156
25.039150	147.096732
25.064164	146.881308
25.089178	146.665885
25.114192	146.450461
25.139206	146.235037
25.164220	146.019614
25.189234	145.804190
25.214249	145.588767
25.239263	145.381442
25.264277	145.177359
25.289291	144.973275
25.314305	144.769192
25.339319	144.565109
25.364333	144.361026
25.389348	144.156943
25.414362	143.952860
25.439376	143.748777
25.464390	143.544693
25.489404	143.337114
25.514418	143.128174
25.539432	142.919234
25.564446	142.710294
25.589461	142.501354
25.614475	142.292414
25.639489	142.083474
25.664503	141.874534
25.689517	141.665594
25.714531	141.456654
25.739545	141.255940
25.764560	141.058341
25.789574	140.860741
25.814588	140.663142
25.839602	140.465542
25.864616	140.267942
25.889630	140.070343
25.914644	139.872743
25.939658	139.675144
