0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.7,3.1,2.6,46.2,101,82.9,49.7,30,,,
-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.8,3.1,2.6,75.8,104.5,83.3,49.9,30,,,
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.2,2.9,3.2,2.7,103,105.9,83.7,50.1,30,,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.2,2.9,3.3,2.7,117.1,107.4,84.1,50.3,30.2,,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.3,3,3.3,2.8,123.1,108,84.4,50.4,30.3,,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.4,3,3.4,2.8,125.6,108.7,84.7,50.6,30.3,,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.4,3.1,3.5,2.9,126.9,109.2,84.9,50.7,30.3,,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,3.2,3.5,3,127.7,109.7,85.4,50.9,30.4,,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.6,3.3,3.6,3,128.2,110,85.8,51.1,30.5,,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.6,3.4,3.7,3.1,128.4,110.3,85.9,51.2,30.6,,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.7,3.5,3.8,3.1,128.6,110.5,86,51.3,30.7,,,
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.7,3.6,3.8,3.2,128.9,110.6,86.2,51.5,30.6,,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.8,3.7,3.9,3.3,129.2,111.1,86.3,51.7,30.6,,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.9,3.8,4.1,3.3,129.5,111.5,86.7,51.8,30.7,,,1.2
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.3,3,3.9,4.2,3.4,129.8,111.6,87.1,51.9,30.8,,,1.2
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.4,3.1,3.9,4.3,3.4,129.9,111.7,87.2,52,30.8,,,1.2
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.4,3.1,4.1,4.3,3.5,130,111.9,87.4,52.2,30.9,,,1.3
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.5,3.2,4.2,4.5,3.6,130.1,112.1,87.6,52.4,31.1,,,1.3
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.5,3.3,4.3,4.6,3.7,130.3,112.3,87.7,52.5,31.3,,,1.3
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.6,3.4,4.4,4.7,3.8,130.5,112.4,87.9,52.6,31.4,,1.6,1.3
-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,1.4,1.3,2.7,3.5,4.5,4.8,3.9,130.6,112.5,88,52.7,31.5,,1.6,1.3
-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,1.4,1.3,2.8,3.6,4.7,4.9,4,130.6,112.5,88.3,52.7,31.4,,1.7,1.4
-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,1.5,1.3,2.8,3.7,4.8,5.1,4,130.6,112.5,88.6,52.7,31.3,1.4,1.8,1.4
-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.9,1,1.5,1.3,2.9,3.9,5,5.2,4.1,130.7,112.5,88.6,52.8,31.4,1.4,1.8,1.4
-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,1.6,1.3,3,4,5.1,5.3,4.1,130.8,112.8,88.6,52.8,31.4,1.4,1.9,1.5
-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2,1,1,1.6,1.4,3.2,4.1,5.3,5.4,4.2,130.9,113.1,88.7,53.1,31.6,1.5,1.9,1.5
-76,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.1,1.2,1,1.1,1.6,1.4,3.3,4.3,5.5,5.6,4.3,130.9,113.1,88.7,53.4,31.7,1.5,1.9,1.5
-75,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,1,1.2,1.2,1,1.1,1.6,1.4,3.4,4.4,5.7,5.7,4.4,130.9,113.2,88.8,53.3,31.7,1.6,2,1.5
-74,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,1,1.2,1.2,1,1.1,1.8,1.4,3.5,4.6,5.9,5.8,4.6,130.8,113.2,88.9,53.3,31.7,1.6,2.1,1.6
-73,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.8,1,1.2,1.3,1,1.1,1.8,1.5,3.6,4.7,6.1,6,4.7,130.8,113.2,89,53.4,31.8,1.6,2.1,1.6
-72,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,1.1,1.3,1.3,1,1.1,1.8,1.5,3.7,4.9,6.3,6.2,4.9,130.7,113.3,89.1,53.5,31.8,1.6,2.2,1.6
-71,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.7,0.8,1.1,1.3,1.3,1.1,1.1,1.9,1.6,3.9,5.1,6.4,6.4,5.1,130.8,113.4,89.2,53.6,31.9,1.6,2.2,1.7
-70,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.9,0.9,0.7,0.9,1.1,1.3,1.3,1.1,1.2,1.9,1.6,4,5.3,6.7,6.6,5.4,131,113.6,89.3,53.6,31.9,1.7,2.3,1.7
-69,,,,,,,,,,,,,,,,,,,,0.4,0.7,0.7,0.9,0.9,0.7,0.9,1.1,1.4,1.4,1.1,1.2,2,1.6,4.1,5.5,6.9,6.7,5.7,131,113.7,89.4,53.7,32,1.8,2.4,1.8
-68,,,,,,,,,,,,,,,,,,,,0.4,0.7,0.8,0.9,0.9,0.7,0.9,1.1,1.4,1.4,1.1,1.2,2.1,1.6,4.3,5.7,7.2,6.9,6.6,130.8,113.9,89.5,53.7,32,1.9,2.4,1.8
-67,,,,,,,,,,,,,,,,,,,0.5,0.4,0.7,0.8,0.9,0.9,0.7,0.9,1.1,1.5,1.4,1.1,1.3,2.1,1.7,4.4,6,7.5,7.2,7.7,130.7,114,89.7,53.8,32,1.9,2.5,1.8
-66,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.7,0.8,1,0.9,0.7,1,1.2,1.5,1.5,1.2,1.3,2.2,1.8,4.6,6.2,7.7,7.5,9.7,130.7,113.8,89.8,53.9,32,2,2.6,1.8
-65,,,,,,,,,,,,,,,,0.5,0.5,0.6,0.6,0.5,0.7,0.8,1,1,0.8,1,1.2,1.5,1.5,1.2,1.4,2.2,1.8,4.8,6.5,8,8,13.1,130.8,113.7,89.8,54,32.1,2.1,2.6,1.9
-64,,,,,,,,,,,,,,,,0.5,0.5,0.6,0.6,0.5,0.7,0.8,1,1,0.8,1,1.3,1.6,1.6,1.2,1.4,2.4,1.8,5,6.8,8.4,8.5,17,130.9,113.7,89.8,54.1,32.1,2.1,2.8,2
-63,,,,,,,,,,,,,,,,0.5,0.6,0.6,0.6,0.5,0.7,0.9,1,1,0.8,1,1.3,1.6,1.6,1.3,1.5,2.5,1.9,5.2,7.1,8.8,9.7,20,131,113.8,89.8,54,32.2,2.2,2.8,2
-62,,,,,,,,,,,,,,,0.2,0.5,0.6,0.6,0.6,0.5,0.7,0.9,1.1,1.1,0.8,1,1.4,1.7,1.7,1.3,1.5,2.5,1.9,5.4,7.4,9.2,12,21.9,131,113.9,89.8,54,32.2,2.2,2.9,2
-61,,,,,,,,,,,,,,0.3,0.2,0.5,0.6,0.6,0.6,0.5,0.7,0.9,1.1,1.1,0.9,1.1,1.4,1.7,1.7,1.3,1.5,2.6,2,5.6,7.8,9.7,16,23,131.1,114,89.9,54.1,32.3,2.3,2.9,2
-60,,,,,,,,,,,0.4,0.4,0.4,0.3,0.2,0.5,0.6,0.7,0.7,0.5,0.8,0.9,1.1,1.1,0.9,1.1,1.4,1.8,1.8,1.4,1.6,2.7,2,5.9,8.3,10.6,22.6,23.5,131.2,114,90,54.2,32.4,2.3,3,2
-59,,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.7,0.7,0.5,0.8,0.9,1.2,1.2,0.9,1.2,1.5,1.8,1.8,1.4,1.6,2.8,2.1,6.1,8.8,11.6,30.3,23.9,131.2,113.9,90,54.3,32.4,2.4,3.1,2.2
-58,,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.7,0.7,0.5,0.8,1,1.2,1.2,0.9,1.2,1.5,1.9,1.9,1.4,1.7,2.8,2.1,6.5,9.6,13.3,36.1,24.1,131.1,114,90,54.3,32.3,2.5,3.4,2.2
-57,,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.7,0.7,0.5,0.8,1,1.2,1.2,1,1.2,1.6,1.9,1.9,1.5,1.8,3,2.1,6.9,10.6,17.1,39.1,24.3,131,114.1,90,54.3,32.4,2.5,3.4,2.2
-56,,,,,,,,,0.1,0.1,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.8,0.7,0.6,0.8,1,1.3,1.2,1,1.3,1.6,2,2,1.5,1.9,3,2.2,7.8,12.2,24.6,40.7,24.4,131,114,90.1,54.4,32.5,2.6,3.4,2.3
-55,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.8,0.7,0.6,0.9,1,1.3,1.3,1,1.3,1.7,2.1,2.1,1.6,2,3.1,2.3,8.8,15.8,37.9,41.4,24.6,131,114,90.2,54.4,32.4,2.7,3.6,2.3
-54,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.4,0.4,0.3,0.6,0.7,0.8,0.8,0.6,0.9,1.1,1.4,1.3,1,1.3,1.7,2.2,2.1,1.6,2,3.3,2.4,10.8,23.5,54.2,42.1,24.7,131,114.1,90.2,54.5,32.4,2.7,3.7,2.4
-53,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.6,0.7,0.8,0.8,0.6,0.9,1.1,1.4,1.4,1,1.4,1.8,2.3,2.2,1.6,2.1,3.4,2.5,15.3,38.3,65.3,42.5,24.8,131,114.2,90.2,54.6,32.5,2.9,3.8,2.4
-52,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.6,0.7,0.8,0.8,0.6,0.9,1.2,1.5,1.4,1.1,1.4,1.9,2.4,2.2,1.7,2.2,3.5,2.5,26.6,59.9,70.7,43,24.7,131,114.1,90.3,54.7,32.6,3,4,2.6
-51,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.6,0.7,0.9,0.8,0.6,1,1.2,1.5,1.4,1.1,1.5,2,2.5,2.3,1.7,2.3,3.7,2.5,48.2,79.7,73.5,43.3,24.7,130.9,114,90.3,54.7,32.6,3.1,4.1,2.6
-50,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.6,0.8,0.9,0.8,0.6,1,1.3,1.6,1.5,1.1,1.5,2.1,2.6,2.3,1.8,2.3,3.8,2.6,79,91.2,74.6,43.6,24.9,130.6,114.1,90.4,54.6,32.6,3.2,4.2,2.7
-49,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.6,0.8,0.9,0.9,0.6,1,1.3,1.7,1.5,1.1,1.6,2.1,2.6,2.5,1.8,2.4,4,2.7,101.4,96.6,75.7,43.6,25,130.5,114.3,90.3,54.6,32.6,3.2,4.4,2.8
-48,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.4,0.3,0.7,0.8,0.9,0.9,0.7,1.1,1.3,1.7,1.6,1.2,1.7,2.2,2.8,2.6,1.9,2.6,4.3,2.8,112.4,98.8,76.2,43.7,25.1,130.7,114.1,90.3,54.6,32.5,3.3,4.6,2.9
-47,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.5,0.5,0.4,0.3,0.7,0.9,1,0.9,0.7,1.1,1.4,1.8,1.6,1.2,1.7,2.3,2.9,2.7,1.9,2.6,4.5,2.9,117,99.9,76.7,43.8,25.3,130.6,113.9,90.4,54.7,32.6,3.4,4.8,3
-46,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.5,0.5,0.4,0.3,0.7,0.9,1,1,0.7,1.2,1.5,1.9,1.7,1.3,1.8,2.5,3,2.7,2,2.8,4.6,3,118.6,100.9,77.1,44,25.3,130.5,114,90.5,54.8,32.6,3.6,5,3.2
-45,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.5,0.5,0.4,0.3,0.7,0.9,1.1,1,0.7,1.2,1.5,1.9,1.7,1.3,1.9,2.6,3.1,2.8,2.1,2.9,4.7,3.1,119.8,101.7,77.5,44.2,25.4,130.5,114.1,90.5,54.7,32.6,3.7,5.2,3.3
