0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
44,84.7,,93.5,,96.7,,99.1,,101.3,,104.9,,108.7,,204.7,,225.1,,231.9,,237.5,,242.5,,250,,257.5,,77.9,,93.5,,97.9,,100.4,,102.1,,105.5,,108.9,,338.2,,398.6,,415,,422.8,,428.4,,436.3,,443.6,
45,84.1,,93,,96,,98.5,,100.6,,104.4,,108,,203,,223.3,,230.4,,236.3,,241.2,,248.4,,256.3,,77.3,,93,,97.5,,100,,101.7,,104.8,,108.4,,336.3,,396,,412.8,,420.5,,426.3,,434.1,,441.6,
46,83.4,,92.4,,95.4,,97.9,,100.4,,103.8,,107.7,,201.5,,221.6,,228.8,,234.7,,239.7,,247.2,,254.7,,77,,92.4,,96.8,,99.4,,101.5,,104.5,,108,,334.3,,393.6,,410.2,,418.7,,424.2,,432.1,,439.7,
47,82.9,,91.9,,94.9,,97.3,,99.6,,103.3,,107.1,,200.1,,220.1,,226.8,,232.9,,238.3,,245.5,,253.3,,76.5,,92,,96.5,,98.8,,100.9,,104.1,,107.6,,332,,391.6,,407.7,,415.9,,421.6,,429.9,,437.8,
48,82.4,,91,,94.3,,96.8,,99.1,,102.7,,106.5,,198.9,,218.6,,225.7,,231.6,,236.7,,244.6,,252,,75.9,,91.4,,96,,98.5,,100.7,,103.8,,107.3,,330,,389.3,,405.8,,414.1,,419.6,,427.7,,435.8,
49,81.7,,90.3,,93.7,,96.2,,98.3,,102.3,,106.2,,197,,216.6,,223.9,,229.8,,235,,243,,250.8,,75.7,,91.2,,95.4,,97.9,,100,,103.1,,106.7,,327.7,,386.9,,403.3,,412.3,,417.3,,425.5,,433,
50,81.3,,89.9,,93.2,,95.7,,98,,101.4,,105.5,,195.7,,215.1,,222.6,,228.3,,233.9,,241.9,,249.3,,75.3,,90.6,,95,,97.6,,99.5,,102.7,,106.3,,325.9,,384.6,,401,,409.6,,415.9,,423.8,,432.2,
51,80.6,80.7,89.5,89.3,92.5,92.5,95,94.8,97.4,97.4,101.3,101.1,105,105.2,194,194.2,213.9,213.7,221,221.2,227.2,226.6,232.2,232.5,240.3,239.8,247.9,247.9,75,75,90.1,90,94.7,94.5,97,97,99.2,99,102.3,102.2,105.9,105.8,324.1,323.8,382,382,399.2,398.8,407.1,406.8,413,413.3,421.7,421.7,429.6,429.6
52,80.3,80.4,88.7,88.9,92,91.7,94.6,94.3,96.8,96.8,100.4,100.6,104.4,104.7,193,192.8,212.2,212.2,219.3,219.7,225.9,224.9,230.9,231.1,239.2,238.4,246.8,246.5,74.4,74.5,89.8,89.5,94.1,93.9,96.5,96.6,98.5,98.6,101.6,101.8,105.3,105.2,322.2,321.5,380.2,379.8,396.2,396.2,405.3,404.5,411,411.5,419.2,419.6,427.8,428
53,79.6,79.9,88.2,88.3,91.5,91.4,94,93.9,96.3,96.1,100.1,100.1,104,104.2,191.2,191.2,210.7,210.4,218.2,217.8,224.1,223.8,229.1,229.6,237.6,237.1,245.4,245.1,74,74.1,89.2,89.1,93.6,93.4,95.9,96.1,98.1,98,101.3,101.3,105,104.8,320.2,319.5,378,377.8,394.3,394.2,402.7,402.5,409.2,409.6,417.5,417.7,425.2,425.6
